symptoms,grouped diseases
hostile behavior,"{'adjustment reaction': 0.03345445432903145, 'alcohol abuse': 0.043227665706051875, 'alzheimer disease': 0.02881844380403458, 'asperger syndrome': 0.028317253477007892, 'attention deficit hyperactivity disorder (adhd)': 0.04385415361483523, 'autism': 0.028943741385791255, 'conduct disorder': 0.04498183185064528, 'delirium': 0.03834106001754166, 'dementia': 0.028442551058764566, 'depression': 0.059516351334419244, 'developmental disability': 0.05813807793509585, 'drug abuse': 0.03733867936348829, 'drug abuse (barbiturates)': 0.005011903270266884, 'drug abuse (cocaine)': 0.016915173537150732, 'drug abuse (methamphetamine)': 0.03157499060268137, 'lewy body dementia': 0.008269640395940359, 'marijuana abuse': 0.07831098859792006, 'neurosis': 0.05888986342563589, 'obsessive compulsive disorder (ocd)': 0.02819195589525122, 'oppositional disorder': 0.030196717203357974, 'personality disorder': 0.061897005387796016, 'poisoning due to sedatives': 0.012780353339180555, 'post-traumatic stress disorder (ptsd)': 0.057762185189825836, 'psychotic disorder': 0.061395815060769326, 'schizophrenia': 0.054128555318882346, 'substance-related mental disorder': 0.021300588898634256}"
drug abuse,"{'alcohol abuse': 0.048803290949887806, 'attention deficit hyperactivity disorder (adhd)': 0.060396409872849666, 'avascular necrosis': 0.0018698578908002991, 'depression': 0.08732236350037398, 'drug abuse': 0.0605833956619297, 'drug abuse (barbiturates)': 0.006731488406881077, 'drug abuse (cocaine)': 0.02860882572924458, 'drug abuse (methamphetamine)': 0.032722513089005235, 'drug abuse (opioids)': 0.0600224382946896, 'drug poisoning due to medication': 0.02112939416604338, 'fracture of the skull': 0.009536275243081526, 'human immunodeficiency virus infection (hiv)': 0.00037397157816005983, 'marijuana abuse': 0.11518324607329843, 'neurosis': 0.08582647718773373, 'open wound of the chest': 0.00018698578908002991, 'personality disorder': 0.08526551982049364, 'pneumothorax': 0.040762902019446524, 'poisoning due to antidepressants': 0.0048616305160807775, 'poisoning due to opioids': 0.0013089005235602095, 'poisoning due to sedatives': 0.016080777860882575, 'post-traumatic stress disorder (ptsd)': 0.05703066566940913, 'postpartum depression': 0.06282722513089005, 'smoking or tobacco addiction': 0.08694839192221392, 'substance-related mental disorder': 0.0200074794315632, 'tourette syndrome': 0.005609573672400898}"
sharp abdominal pain,"{'abdominal aortic aneurysm': 0.002414337450088216, 'abdominal hernia': 0.00745968365988795, 'acute fatty liver of pregnancy (aflp)': 0.00024762435385520165, 'acute kidney injury': 0.014052682081282694, 'acute pancreatitis': 0.018602779583372024, 'adrenal adenoma': 0.0006190608846380042, 'alcoholic liver disease': 0.0040858018386108275, 'anal fissure': 0.0038072244405237257, 'appendicitis': 0.01340266815241279, 'ascending cholangitis': 0.001330980901971709, 'benign kidney cyst': 0.0034048348655090228, 'benign vaginal discharge (leukorrhea)': 0.010090692419599468, 'bladder disorder': 0.0072120593060327485, 'celiac disease': 0.0033429287770452222, 'cervical disorder': 0.0009595443711889064, 'cervicitis': 0.006283467979075742, 'chlamydia': 0.0034976939982047234, 'cholecystitis': 0.019190887423778127, 'choledocholithiasis': 0.007366824527192249, 'chronic constipation': 0.013959822948586994, 'chronic pain disorder': 0.01027641068499087, 'chronic pancreatitis': 0.0048905809886402325, 'cirrhosis': 0.005107252298263534, 'colonic polyp': 0.007304918438728449, 'colorectal cancer': 0.00024762435385520165, 'crohn disease': 0.006190608846380042, 'cystitis': 0.018850403937227225, 'diabetic ketoacidosis': 0.01061689417154177, 'diverticulitis': 0.01943851177763333, 'diverticulosis': 0.010647847215773672, 'drug withdrawal': 0.005571547961742037, 'ectopic pregnancy': 0.005571547961742037, 'endometriosis': 0.005819172315597239, 'epididymitis': 0.008419228031076857, 'esophageal cancer': 0.0021357600520011144, 'esophagitis': 0.018448014362212523, 'fluid overload': 0.0050143931655678336, 'folate deficiency': 0.0012381217692760084, 'foreign body in the gastrointestinal tract': 0.001795276565450212, 'gallstone': 0.014331259479369796, 'gas gangrene': 3.0953044231900206e-05, 'gastritis': 0.010709753304237471, 'gastroduodenal ulcer': 0.010833565481165073, 'gastroesophageal reflux disease (gerd)': 0.007583495836815551, 'gastrointestinal hemorrhage': 0.01909802829108243, 'gastroparesis': 0.0034048348655090228, 'gonorrhea': 0.0024452904943201162, 'hematoma': 0.0012690748135079084, 'hemorrhoids': 0.013743151638963691, 'hepatic encephalopathy': 0.0007738261057975052, 'hepatitis due to a toxin': 0.006004890580988641, 'hiatal hernia': 0.014733649054384498, 'hirschsprung disease': 0.0004952487077104033, 'hydatidiform mole': 0.0015786052558269105, 'hydronephrosis': 0.005138205342495435, 'hyperemesis gravidarum': 0.014114588169746494, 'hypokalemia': 0.008233509765685456, 'hyponatremia': 0.008078744544525954, 'hypovolemia': 0.006840622775249946, 'idiopathic absence of menstruation': 0.010678800260005571, 'idiopathic excessive menstruation': 0.018448014362212523, 'idiopathic infrequent menstruation': 0.00148574612313121, 'idiopathic irregular menstrual cycle': 0.013959822948586994, 'idiopathic nonmenstrual bleeding': 0.002661961803943418, 'idiopathic painful menstruation': 0.013681245550499892, 'ileus': 0.006964434952177546, 'indigestion': 0.007181106261800848, 'induced abortion': 0.0048905809886402325, 'infectious gastroenteritis': 0.018757544804531526, 'inguinal hernia': 0.006654904509858545, 'injury to internal organ': 0.0022905252731606155, 'injury to the abdomen': 0.0011762156808122078, 'intestinal cancer': 0.0010833565481165072, 'intestinal disease': 0.005757266227133438, 'intestinal malabsorption': 0.0025071965827839168, 'intestinal obstruction': 0.007181106261800848, 'intussusception': 9.285913269570062e-05, 'irritable bowel syndrome': 0.007954932367598354, 'ischemia of the bowel': 0.0045500975020893305, 'kidney stone': 0.013805057727427492, 'liver cancer': 0.0008666852384932058, 'liver disease': 0.018974216114154827, 'lymphadenitis': 0.00913114804841056, 'missed abortion': 0.005788219271365339, 'mittelschmerz': 0.000897638282725106, 'nonalcoholic liver disease (nash)': 0.0016095583000588108, 'noninfectious gastroenteritis': 0.01922184046801003, 'open wound of the abdomen': 9.285913269570062e-05, 'ovarian cancer': 0.0003714365307828025, 'ovarian cyst': 0.007985885411830254, 'ovarian torsion': 0.0011762156808122078, 'pain after an operation': 0.01355743337357229, 'pancreatic cancer': 0.0031881635558857215, 'parasitic disease': 0.001361933946203609, 'pelvic inflammatory disease': 0.014052682081282694, 'pericarditis': 0.0031881635558857215, 'peritonitis': 0.0058810784040610395, 'persistent vomiting of unknown cause': 0.0030024452904943203, 'pinworm infection': 0.0014547930788993098, 'pleural effusion': 0.014207447302442194, 'poisoning due to antihypertensives': 0.0005262017519423036, 'polycystic kidney disease': 0.003095304423190021, 'postoperative infection': 0.001640511344290711, 'preeclampsia': 0.0035286470424366234, 'premature rupture of amniotic membrane': 0.00027857739808710187, 'problem during pregnancy': 0.013743151638963691, 'prostatitis': 0.014176494258210295, 'pyelonephritis': 0.019128981335314328, 'rectal disorder': 0.014516977744761198, 'scurvy': 0.00012381217692760083, 'sepsis': 0.014114588169746494, 'sickle cell crisis': 0.014486024700529298, 'spontaneous abortion': 0.01823134305258922, 'stomach cancer': 0.0030333983347262203, 'temporary or benign blood in urine': 0.013712198594731792, 'testicular torsion': 0.0017333704769864117, 'thoracic aortic aneurysm': 0.002723867892407218, 'threatened pregnancy': 0.018571826539140125, 'trichomonas infection': 0.0053548766521187355, 'ulcerative colitis': 0.006066796669452441, 'urethral disorder': 0.007304918438728449, 'urethral valves': 0.0006809669731018045, 'urethritis': 0.006778716686786145, 'urinary tract obstruction': 0.01046212895038227, 'uterine atony': 0.0036524592193642245, 'uterine fibroids': 0.006871575819481846, 'vaginal cyst': 0.01798371869873402, 'vaginal yeast infection': 0.008573993252236357, 'vaginismus': 0.0017024174327545114, 'vaginitis': 0.014238400346674096, 'viral hepatitis': 0.0005881078404061039, 'volvulus': 0.00021667130962330146, 'vulvodynia': 0.01829324914105302, 'white blood cell disease': 0.008202556721453555, 'yeast infection': 0.009533537623425264}"
feeling ill,"{'alopecia': 0.03966789667896679, 'anemia of chronic disease': 0.008763837638376383, 'connective tissue disorder': 0.0006918819188191881, 'cystic fibrosis': 0.0018450184501845018, 'drug abuse (methamphetamine)': 0.05212177121771218, 'hepatitis due to a toxin': 0.05627306273062731, 'hyperkalemia': 0.08002767527675277, 'hypoglycemia': 0.14391143911439114, 'hypovolemia': 0.051429889298892986, 'mononucleosis': 0.052813653136531365, 'obsessive compulsive disorder (ocd)': 0.08302583025830258, 'orthostatic hypotension': 0.047739852398523984, 'pulmonary hypertension': 0.0779520295202952, 'scleroderma': 0.06019372693726937, 'sepsis': 0.11116236162361623, 'sinus bradycardia': 0.10516605166051661, 'substance-related mental disorder': 0.026291512915129153, 'syndrome of inappropriate secretion of adh (siadh)': 0.0009225092250922509}"
vomiting,"{'abscess of nose': 0.008394919997129942, 'acute bronchiolitis': 0.02227882614622946, 'acute bronchospasm': 0.022350577599196383, 'acute kidney injury': 0.017363851617995266, 'acute pancreatitis': 0.02227882614622946, 'alcohol intoxication': 0.00695989093779149, 'alcohol withdrawal': 0.012735882901628758, 'appendicitis': 0.016646337088326038, 'benign kidney cyst': 0.005058477434168042, 'benign paroxysmal positional vertical (bppv)': 0.008215541364712635, 'carbon monoxide poisoning': 0.0016502834182392193, 'celiac disease': 0.0037669512807634357, 'cerebral edema': 0.0027624309392265192, 'cholecystitis': 0.02249408050513023, 'choledocholithiasis': 0.008251417091196096, 'chronic constipation': 0.01696921862667719, 'chronic pancreatitis': 0.005919494869771113, 'common cold': 0.016646337088326038, 'concussion': 0.021489560163593314, 'crohn disease': 0.006780512305374184, 'croup': 0.017901987515247183, 'diabetic ketoacidosis': 0.0122336227308603, 'diaper rash': 0.01639520700294181, 'dislocation of the foot': 0.0006816388031857645, 'diverticulitis': 0.021740690248977543, 'diverticulosis': 0.011731362560091841, 'drug reaction': 0.016538709908875654, 'drug withdrawal': 0.004914974528234197, 'dumping syndrome': 0.00014350290593384516, 'erythema multiforme': 0.0012915261534046064, 'esophagitis': 0.02256583195809715, 'flu': 0.01169548683360838, 'fluid overload': 0.008072038458778791, 'food allergy': 0.00803616273229533, 'foreign body in the gastrointestinal tract': 0.0023677979479084454, 'foreign body in the throat': 0.0029059338451603643, 'fracture of the skull': 0.0018296620506565258, 'gallstone': 0.015928822558656814, 'gastritis': 0.011982492645476071, 'gastroduodenal ulcer': 0.012700007175145297, 'gastrointestinal hemorrhage': 0.022135323240295615, 'gastroparesis': 0.0037669512807634357, 'headache after lumbar puncture': 0.0030135610246107484, 'heat exhaustion': 0.006744636578890723, 'hepatitis due to a toxin': 0.0068163880318576455, 'herpangina': 0.00835904427064648, 'hydrocephalus': 0.00304943675109421, 'hydronephrosis': 0.0066728851259238, 'hyperemesis gravidarum': 0.016000574011623737, 'hyperkalemia': 0.011803114013058764, 'hypokalemia': 0.009542943244600702, 'hyponatremia': 0.00972232187701801, 'hypovolemia': 0.008251417091196096, 'ileus': 0.008287292817679558, 'indigestion': 0.008072038458778791, 'infectious gastroenteritis': 0.021920068881394847, 'intestinal disease': 0.007103393843725336, 'intestinal malabsorption': 0.0033364425629619, 'intestinal obstruction': 0.008072038458778791, 'intracerebral hemorrhage': 0.010116954868336085, 'intracranial hemorrhage': 0.008179665638229174, 'ischemia of the bowel': 0.006493506493506494, 'kidney failure': 0.005130228887134964, 'kidney stone': 0.022888713496448304, 'labyrinthitis': 0.012556504269211451, 'malignant hypertension': 0.003479945468895745, 'meningitis': 0.005632489057903423, 'migraine': 0.004269211451531894, 'mittelschmerz': 0.0011121475209873, 'neuropathy due to drugs': 0.001363277606371529, 'noninfectious gastroenteritis': 0.022063571787328692, 'otitis media': 0.022242950419746, 'ovarian cyst': 0.012054244098442994, 'pain after an operation': 0.01646695845590873, 'pelvic inflammatory disease': 0.01617995264404104, 'peritonitis': 0.007031642390758413, 'persistent vomiting of unknown cause': 0.0031570639305445935, 'pneumonia': 0.022601707684580613, 'poisoning due to analgesics': 0.0012915261534046064, 'problem during pregnancy': 0.01639520700294181, 'protein deficiency': 0.0018655377771399871, 'pyelonephritis': 0.01607232546459066, 'pyloric stenosis': 0.0003946329913180742, 'sepsis': 0.016646337088326038, 'sickle cell crisis': 0.022386453325679845, 'stomach cancer': 0.002834182392193442, 'strep throat': 0.022888713496448304, 'stricture of the esophagus': 0.002116667862524216, 'subarachnoid hemorrhage': 0.00362344837482959, 'subdural hemorrhage': 0.00362344837482959, 'trichomonas infection': 0.00975819760350147, 'ulcerative colitis': 0.007031642390758413, 'urethral disorder': 0.009363564612183397, 'urinary tract infection': 0.016753964267776422, 'viral exanthem': 0.010332209227236851, 'volvulus': 0.0003228815383511516, 'white blood cell disease': 0.008861304441414938, 'whooping cough': 0.0010762717945038388}"
headache,"{'abscess of the pharynx': 0.010032768315870383, 'acute bronchitis': 0.0253246490553825, 'acute stress reaction': 0.01901371414701242, 'anxiety': 0.024596464258262875, 'aphthous ulcer': 0.008535944010680044, 'atelectasis': 0.0034386504308426716, 'autonomic nervous system disorder': 0.002993648610380679, 'bell palsy': 0.013552328168615235, 'benign paroxysmal positional vertical (bppv)': 0.009749585339212751, 'blepharospasm': 0.00024272826570654154, 'brachial neuritis': 0.01788098224038189, 'brain cancer': 0.004369108782717747, 'burn': 0.0012540960394837979, 'carbon monoxide poisoning': 0.002063190258505603, 'cerebral edema': 0.002386827946114325, 'chronic pain disorder': 0.013754601723370686, 'chronic sinusitis': 0.013916420567175047, 'common cold': 0.01945871596747441, 'concussion': 0.025001011367773777, 'cranial nerve palsy': 0.0074032121040495166, 'cysticercosis': 0.0007281847971196245, 'deviated nasal septum': 0.012581415105789069, 'drug reaction': 0.01921598770176787, 'encephalitis': 0.0019013714147012419, 'ependymoma': 0.0007686395080707148, 'epilepsy': 0.001294550750434888, 'extrapyramidal effect of drugs': 0.002993648610380679, 'fibromyalgia': 0.013390509324810874, 'flu': 0.017961891662284072, 'fracture of the facial bones': 0.00934503822970185, 'fracture of the skull': 0.001456369594239249, 'gastritis': 0.018568712326550427, 'head injury': 0.003317286297989401, 'headache after lumbar puncture': 0.003600469274647033, 'heat exhaustion': 0.005097293579837372, 'hemiplegia': 0.010315951292528014, 'high blood pressure': 4.045471095109025e-05, 'hormone disorder': 0.0019013714147012419, 'hydrocephalus': 0.0037622881184513936, 'hyperemesis gravidarum': 0.018528257615599338, 'hypertension of pregnancy': 0.001294550750434888, 'hypokalemia': 0.009951858893968202, 'ileus': 0.012419596261984708, 'infectious gastroenteritis': 0.02496055665682269, 'injury to the face': 0.008778672276386585, 'injury to the spinal cord': 0.0009304583518750758, 'injury to the trunk': 0.017961891662284072, 'interstitial lung disease': 0.010477770136332375, 'intracerebral hemorrhage': 0.012176867996278167, 'intracranial abscess': 0.0004854565314130831, 'intracranial hemorrhage': 0.007443666815000607, 'iridocyclitis': 0.013916420567175047, 'jaw disorder': 0.007281847971196246, 'labyrinthitis': 0.013673692301468506, 'lyme disease': 0.005785023666005906, 'malaria': 0.0005259112423641733, 'malignant hypertension': 0.004045471095109026, 'meniere disease': 0.005704114244103726, 'meningioma': 0.0005259112423641733, 'meningitis': 0.005825478376956996, 'migraine': 0.004490472915571018, 'mononucleosis': 0.0069582102835875235, 'multiple sclerosis': 0.018042801084186252, 'muscle spasm': 0.014523241231441402, 'myositis': 0.004085925806060116, 'narcolepsy': 0.004126380517011206, 'nasal polyp': 0.008212306323071322, 'neuralgia': 0.018811440592256968, 'neurofibromatosis': 0.0006877300861685343, 'neurosis': 0.018487802904648246, 'noninfectious gastroenteritis': 0.024839192523969416, 'normal pressure hydrocephalus': 0.0004854565314130831, 'nose disorder': 0.024556009547311783, 'open wound of the head': 4.045471095109025e-05, 'open wound of the nose': 0.000161818843804361, 'optic neuritis': 0.0004045471095109025, 'orthostatic hypotension': 0.006270480197418989, 'pain after an operation': 0.01917553299081678, 'pain disorder affecting the neck': 0.009183219385897487, 'peritonsillar abscess': 0.007039119705489704, 'pinguecula': 0.00024272826570654154, 'pituitary adenoma': 0.000647275375217444, 'pituitary disorder': 0.0006877300861685343, 'poisoning due to gas': 0.006027751931712448, 'polycythemia vera': 0.0011731866175816175, 'preeclampsia': 0.00465229175937538, 'premenstrual tension syndrome': 0.002993648610380679, 'problem during pregnancy': 0.018123710506088433, 'pseudotumor cerebri': 0.0010113677737772565, 'restless leg syndrome': 0.0061086613536146285, 'rocky mountain spotted fever': 4.045471095109025e-05, 'sarcoidosis': 0.007200938549294066, 'scleritis': 0.0013350054613859785, 'seasonal allergies (hay fever)': 0.018811440592256968, 'shingles (herpes zoster)': 0.01112504551154982, 'smoking or tobacco addiction': 0.017840527529430803, 'spina bifida': 0.0018204619927990615, 'spinal stenosis': 0.02423237185970306, 'sprain or strain': 0.024596464258262875, 'strep throat': 0.02552692261013795, 'stroke': 0.01929689712367005, 'subarachnoid hemorrhage': 0.00323637687608722, 'subconjunctival hemorrhage': 0.007200938549294066, 'subdural hemorrhage': 0.002912739188478498, 'syphilis': 0.0006877300861685343, 'syringomyelia': 0.0004854565314130831, 'temporomandibular joint disorder': 0.007160483838342975, 'tension headache': 0.005785023666005906, 'tic (movement) disorder': 0.0021440996804077835, 'tinnitus of unknown cause': 0.005744568955054816, 'tooth disorder': 0.013026416926251063, 'torticollis': 0.005865933087908087, 'tourette syndrome': 0.0006877300861685343, 'transient ischemic attack': 0.01428051296573486, 'trigeminal neuralgia': 0.004530927626522108, 'vasculitis': 0.006270480197418989}"
nausea,"{'acute kidney injury': 0.019757672985181746, 'acute pancreatitis': 0.026259129480305652, 'aplastic anemia': 0.0015198209988601342, 'appendicitis': 0.019588803985308396, 'benign paroxysmal positional vertical (bppv)': 0.009794401992654198, 'carbon monoxide poisoning': 0.00215307974838519, 'celiac disease': 0.0032085109975936166, 'cervicitis': 0.010849833241862625, 'cholecystitis': 0.025414784480938913, 'choledocholithiasis': 0.009245577743065817, 'chronic constipation': 0.019124414235656688, 'chronic pancreatitis': 0.007388018744458986, 'concussion': 0.026554650230084013, 'crohn disease': 0.008527884493604086, 'diabetic ketoacidosis': 0.01536707898847469, 'diverticulitis': 0.026048043230463967, 'diverticulosis': 0.019335500485498376, 'drug reaction': 0.026554650230084013, 'drug withdrawal': 0.00531937349601047, 'dumping syndrome': 0.0001266517499050112, 'ectopic pregnancy': 0.007599104994300671, 'esophageal varices': 0.0001266517499050112, 'esophagitis': 0.025794739730653944, 'flu': 0.01507155823869633, 'fluid overload': 0.010427660742179254, 'gallstone': 0.019799890235150084, 'gastritis': 0.014311647739266265, 'gastroduodenal ulcer': 0.014607168489044624, 'gastroesophageal reflux disease (gerd)': 0.008823405243382446, 'gastrointestinal hemorrhage': 0.026048043230463967, 'gastroparesis': 0.004095073246928695, 'headache after lumbar puncture': 0.004939418246295436, 'heart attack': 0.020433148984675138, 'hemolytic anemia': 0.0008865622493350783, 'hepatitis due to a toxin': 0.010976484991767637, 'hiatal hernia': 0.020348714484738465, 'hydronephrosis': 0.006881411744838941, 'hyperemesis gravidarum': 0.020179845484865115, 'hyperkalemia': 0.014438299489171275, 'hypoglycemia': 0.02634356398024233, 'hypokalemia': 0.011820829991134377, 'hyponatremia': 0.011229788491577658, 'hypovolemia': 0.009034491493224132, 'idiopathic absence of menstruation': 0.010427660742179254, 'idiopathic infrequent menstruation': 0.0018575589986068307, 'ileus': 0.009414446742939165, 'indigestion': 0.009456663992907502, 'infectious gastroenteritis': 0.026765736479925698, 'intestinal disease': 0.010723181491957614, 'intestinal obstruction': 0.012369654240722758, 'intracerebral hemorrhage': 0.012834043990374466, 'irritable bowel syndrome': 0.014269430489297926, 'ischemia of the bowel': 0.008359015493730738, 'kidney failure': 0.0063748047452188965, 'labyrinthitis': 0.01393169248955123, 'liver disease': 0.02659686748005235, 'meniere disease': 0.006163718495377211, 'meningitis': 0.009541098492844177, 'migraine': 0.005277156246042133, 'nonalcoholic liver disease (nash)': 0.0014353864989234601, 'noninfectious gastroenteritis': 0.02630134673027399, 'ovarian cyst': 0.010976484991767637, 'pain after an operation': 0.0203909317347068, 'pancreatic cancer': 0.005066069996200447, 'pelvic inflammatory disease': 0.019335500485498376, 'peritonitis': 0.0076413222442690085, 'persistent vomiting of unknown cause': 0.004179507746865369, 'pituitary adenoma': 0.0010976484991767636, 'placental abruption': 0.0005910414995567188, 'problem during pregnancy': 0.019715455735213407, 'protein deficiency': 0.0016042554987968083, 'pyelonephritis': 0.019631021235276734, 'stomach cancer': 0.0036729007472453244, 'tension headache': 0.006501456495123907, 'tietze syndrome': 0.009541098492844177, 'trichomonas infection': 0.0075568877443323345, 'ulcerative colitis': 0.008359015493730738, 'urinary tract infection': 0.01895554523578334, 'vulvodynia': 0.02587917423059062, 'white blood cell disease': 0.010849833241862625}"
diarrhea,"{'acute pancreatitis': 0.058346065699006876, 'alcoholic liver disease': 0.015278838808250574, 'appendicitis': 0.04354469060351413, 'chronic pancreatitis': 0.020053475935828877, 'colonic polyp': 0.016902215431627197, 'crohn disease': 0.01776165011459129, 'diabetic ketoacidosis': 0.032467532467532464, 'diaper rash': 0.04507257448433919, 'diverticulitis': 0.05891902215431627, 'diverticulosis': 0.0323720397249809, 'flu': 0.03313598166539343, 'gastritis': 0.04344919786096257, 'gastrointestinal hemorrhage': 0.05643621084797555, 'glucocorticoid deficiency': 0.001241405653170359, 'hyperemesis gravidarum': 0.0444996180290298, 'hypokalemia': 0.0273109243697479, 'hypovolemia': 0.022727272727272728, 'ileus': 0.02291825821237586, 'indigestion': 0.02215431627196333, 'infectious gastroenteritis': 0.059396485867074106, 'intestinal cancer': 0.002387318563789152, 'intestinal disease': 0.017857142857142856, 'intestinal malabsorption': 0.008689839572192513, 'irritable bowel syndrome': 0.023491214667685258, 'lactose intolerance': 0.0066844919786096255, 'liver disease': 0.05739113827349122, 'mittelschmerz': 0.00487012987012987, 'noninfectious gastroenteritis': 0.06054239877769289, 'pancreatic cancer': 0.010122230710466005, 'persistent vomiting of unknown cause': 0.008307868601986249, 'rectal disorder': 0.04239877769289534, 'stomach cancer': 0.012605042016806723, 'teething syndrome': 0.0216768525592055, 'ulcerative colitis': 0.01709320091673033, 'white blood cell disease': 0.03189457601222307}"
vaginal itching,"{'atrophic vaginitis': 0.04524714828897338, 'benign vaginal discharge (leukorrhea)': 0.06653992395437262, 'cervical cancer': 0.016730038022813688, 'cervical disorder': 0.007224334600760456, 'cervicitis': 0.04828897338403042, 'chlamydia': 0.02452471482889734, 'cold sore': 0.01749049429657795, 'endometrial cancer': 0.012357414448669201, 'genital herpes': 0.03326996197718631, 'gonorrhea': 0.01730038022813688, 'hpv': 0.0022813688212927757, 'idiopathic absence of menstruation': 0.06577946768060837, 'idiopathic painful menstruation': 0.08840304182509506, 'intestinal obstruction': 0.06520912547528517, 'itching of unknown cause': 0.06330798479087453, 'lichen simplex': 0.010456273764258554, 'menopause': 0.012547528517110267, 'pityriasis rosea': 0.011406844106463879, 'trichomonas infection': 0.04334600760456274, 'tuberculosis': 0.0038022813688212928, 'urethritis': 0.06425855513307985, 'urge incontinence': 0.06539923954372624, 'vaginal yeast infection': 0.059125475285171106, 'vaginitis': 0.0844106463878327, 'vulvar disorder': 0.02338403041825095, 'yeast infection': 0.04790874524714829}"
vaginal dryness,"{'anal fissure': 0.6070287539936102, 'breast cyst': 0.06389776357827476, 'fibroadenoma': 0.25559105431309903, 'metastatic cancer': 0.07348242811501597}"
painful urination,"{'atrophic vaginitis': 0.02038452629140607, 'balanitis': 0.03474635163307853, 'benign vaginal discharge (leukorrhea)': 0.05350938151494093, 'bladder disorder': 0.03856845031271716, 'cervicitis': 0.031503358813991196, 'cystitis': 0.06972434561037757, 'endophthalmitis': 0.006254343293954135, 'epididymitis': 0.03903173500115821, 'foreign body in the vagina': 0.0020847810979847115, 'genital herpes': 0.015288394718554551, 'headache after lumbar puncture': 0.016214964095436647, 'idiopathic nonmenstrual bleeding': 0.010423905489923557, 'kidney stone': 0.053393560342830666, 'pelvic inflammatory disease': 0.053741023859161456, 'phimosis': 0.004053741023859162, 'pinworm infection': 0.005559416261292564, 'priapism': 0.000463284688441047, 'prostatitis': 0.03961084086170952, 'pyelonephritis': 0.052930275654389625, 'stress incontinence': 0.020268705119295807, 'temporary or benign blood in urine': 0.07123002084781098, 'urethral disorder': 0.01922631457030345, 'urethral stricture': 0.017025712300208478, 'urethritis': 0.02779708130646282, 'urge incontinence': 0.029302756543896226, 'urinary tract infection': 0.057563122538800096, 'urinary tract obstruction': 0.0526986333101691, 'vaginal yeast infection': 0.034051424600416956, 'vaginitis': 0.052930275654389625, 'vulvodynia': 0.07041927264303914}"
involuntary urination,"{'atrophic vaginitis': 0.02676437788752589, 'benign kidney cyst': 0.02214433646646487, 'benign prostatic hyperplasia (bph)': 0.09526844033774096, 'bladder disorder': 0.035207901863947746, 'bladder obstruction': 0.042217619882109286, 'carcinoid syndrome': 0.0003186235462800701, 'cystitis': 0.1018002230364824, 'endometrial hyperplasia': 0.007487653337581647, 'erectile dysfunction': 0.07312410387127609, 'graves disease': 0.026445754341245818, 'hpv': 0.0020710530508204557, 'idiopathic excessive menstruation': 0.07280548032499602, 'kidney cancer': 0.010036641707822208, 'menopause': 0.010036641707822208, 'overflow incontinence': 0.01800223036482396, 'paroxysmal supraventricular tachycardia': 0.04795284371515055, 'pelvic organ prolapse': 0.0372789549147682, 'placenta previa': 0.0012744941851202804, 'prostate cancer': 0.015771865540863468, 'psychosexual disorder': 0.022303648239604908, 'spina bifida': 0.006691094471881472, 'stress incontinence': 0.021347777600764697, 'temporary or benign blood in urine': 0.07200892145929584, 'toxic multinodular goiter': 0.009877329934682173, 'urethral disorder': 0.027560936753226063, 'urethral stricture': 0.022622271785884978, 'urge incontinence': 0.041102437470129045, 'uterine fibroids': 0.05528118527959216, 'varicocele of the testicles': 0.07392066273697626, 'vesicoureteral reflux': 0.0012744941851202804}"
pain during intercourse,"{'atrophic vaginitis': 0.1226027397260274, 'cervical disorder': 0.023287671232876714, 'erectile dysfunction': 0.20136986301369864, 'female infertility of unknown cause': 0.017123287671232876, 'prostate cancer': 0.04794520547945205, 'psychosexual disorder': 0.05684931506849315, 'vaginismus': 0.028767123287671233, 'vaginitis': 0.41712328767123286, 'vulvar disorder': 0.08493150684931507}"
frequent urination,"{'atrial flutter': 0.018222284045068857, 'atrophic vaginitis': 0.023925441646960633, 'atrophy of the corpus cavernosum': 0.006120461816664348, 'benign prostatic hyperplasia (bph)': 0.08693837807761859, 'benign vaginal discharge (leukorrhea)': 0.04868549172346641, 'bladder disorder': 0.03366253999165392, 'bladder obstruction': 0.0325497287522604, 'cystitis': 0.0867992766726944, 'diabetic ketoacidosis': 0.06356934205035471, 'dyshidrosis': 0.009737098344693282, 'erectile dysfunction': 0.043538739741271384, 'hemarthrosis': 0.0012519126443177077, 'hyperosmotic hyperketotic state': 0.0004173042147725692, 'injury to internal organ': 0.01544025594658506, 'kidney stone': 0.06454305188482404, 'pelvic organ prolapse': 0.03213242453748783, 'prostatitis': 0.049520100153011545, 'pyelonephritis': 0.0650994575045208, 'spermatocele': 0.01029350396439004, 'stress incontinence': 0.020030602309083323, 'temporary or benign blood in urine': 0.0649603560995966, 'urethritis': 0.029767700653776603, 'urge incontinence': 0.03741827792460704, 'urinary tract infection': 0.06412574767005147, 'urinary tract obstruction': 0.04771178188899708, 'yeast infection': 0.043538739741271384}"
