diseases,grouped symptoms,disease probability
acute respiratory distress syndrome (ards),"{'chills': 0.7472283813747228, 'chest tightness': 0.6496674057649667, 'fever': 0.5232815964523282, 'sharp chest pain': 0.5210643015521065, 'wheezing': 0.5210643015521065, 'difficulty breathing': 0.5188470066518847, 'depressive or psychotic symptoms': 0.5121951219512195, 'cough': 0.5055432372505543, 'shortness of breath': 0.49223946784922396}",0.01
acute sinusitis,"{'sore throat': 0.6578366445916115, 'coryza': 0.5386313465783664, 'sinus congestion': 0.5309050772626932, 'ear pain': 0.5298013245033113, 'frontal headache': 0.5231788079470199, 'cough': 0.5099337748344371, 'facial pain': 0.5088300220750552, 'coughing up sputum': 0.5022075055187638, 'fever': 0.4955849889624724, 'nasal congestion': 0.4900662251655629, 'painful sinuses': 0.4746136865342163}",0.1
acute stress reaction,"{'abnormal involuntary movements': 0.6703296703296703, 'sharp chest pain': 0.5318681318681319, 'headache': 0.5164835164835165, 'dizziness': 0.5131868131868131, 'depressive or psychotic symptoms': 0.512087912087912, 'fatigue': 0.5087912087912088, 'burning abdominal pain': 0.5054945054945055, 'insomnia': 0.4989010989010989, 'depression': 0.4978021978021978, 'shortness of breath': 0.4912087912087912, 'anxiety and nervousness': 0.4901098901098901}",0.03
adhesive capsulitis of the shoulder,"{'muscle pain': 0.8904109589041096, 'arm pain': 0.7534246575342466, 'shoulder stiffness or tightness': 0.589041095890411, 'neck pain': 0.5342465753424658, 'ache all over': 0.5205479452054794, 'shoulder pain': 0.5068493150684932}",0.02
adjustment reaction,"{'delusions or hallucinations': 0.7017892644135189, 'insomnia': 0.6878727634194831, 'depression': 0.6679920477137177, 'hostile behavior': 0.5308151093439364, 'fears and phobias': 0.5149105367793241, 'anxiety and nervousness': 0.5049701789264414, 'restlessness': 0.5029821073558648, 'excessive anger': 0.4970178926441352, 'nightmares': 0.48906560636182905}",0.1
adrenal adenoma,"{'shortness of breath': 0.9142857142857143, 'anxiety and nervousness': 0.8571428571428571, 'back weakness': 0.8285714285714286, 'sharp abdominal pain': 0.5714285714285714}",0.005
adrenal cancer,"{'dizziness': 1.0, 'diminished hearing': 1.0}",0.0005
alcohol abuse,"{'vomiting blood': 0.6784313725490196, 'hostile behavior': 0.6764705882352942, 'smoking problems': 0.6764705882352942, 'depression': 0.5294117647058824, 'low self-esteem': 0.5137254901960784, 'drug abuse': 0.5117647058823529, 'abusing alcohol': 0.48823529411764705, 'depressive or psychotic symptoms': 0.4823529411764706, 'anxiety and nervousness': 0.46862745098039216}",0.07
alcohol intoxication,"{'abnormal involuntary movements': 0.7094017094017094, 'anxiety and nervousness': 0.7037037037037037, 'sharp chest pain': 0.6951566951566952, 'problems with movement': 0.6923076923076923, 'depressive or psychotic symptoms': 0.5584045584045584, 'abusing alcohol': 0.5527065527065527, 'vomiting': 0.5527065527065527, 'depression': 0.5213675213675214}",0.03
alcohol withdrawal,"{'dizziness': 0.6721804511278195, 'depressive or psychotic symptoms': 0.6466165413533834, 'vomiting': 0.5338345864661654, 'seizures': 0.5293233082706766, 'antisocial behavior': 0.518796992481203, 'abusing alcohol': 0.5157894736842106, 'sharp chest pain': 0.5097744360902255, 'fainting': 0.5097744360902255, 'abnormal involuntary movements': 0.5067669172932331, 'delusions or hallucinations': 0.47969924812030074}",0.02
alcoholic liver disease,"{'abnormal involuntary movements': 0.7845528455284553, 'weight gain': 0.6788617886178862, 'stomach bloating': 0.6666666666666666, 'diarrhea': 0.6504065040650406, 'sharp abdominal pain': 0.5365853658536586, 'peripheral edema': 0.524390243902439, 'abusing alcohol': 0.5121951219512195}",0.05
allergy,"{'fluid retention': 0.6729281767955801, 'allergic reaction': 0.5248618784530387, 'peripheral edema': 0.5215469613259669, 'skin swelling': 0.5160220994475138, 'itching of skin': 0.512707182320442, 'abnormal appearing skin': 0.5060773480662983, 'itchiness of eye': 0.5049723756906077, 'skin rash': 0.4983425414364641, 'lip swelling': 0.487292817679558, 'cough': 0.48287292817679556, 'swollen eye': 0.48066298342541436}",0.2
allergy to animals,"{'sore throat': 0.9743589743589743, 'cough': 0.7948717948717948, 'cross-eyed': 0.7692307692307693, 'nasal congestion': 0.6666666666666666, 'allergic reaction': 0.6666666666666666}",0.1
alopecia,"{'itching of skin': 0.7235294117647059, 'skin swelling': 0.7205882352941176, 'acne or pimples': 0.6882352941176471, 'irregular appearing scalp': 0.5264705882352941, 'skin rash': 0.5264705882352941, 'feeling ill': 0.5058823529411764, 'skin growth': 0.5058823529411764, 'too little hair': 0.47352941176470587}",0.05
alzheimer disease,"{'eye burns or stings': 0.75, 'hostile behavior': 0.6845238095238095, 'irregular appearing scalp': 0.6755952380952381, 'depressive or psychotic symptoms': 0.5535714285714286, 'difficulty speaking': 0.5386904761904762, 'delusions or hallucinations': 0.5357142857142857, 'disturbance of memory': 0.5297619047619048, 'depression': 0.5089285714285714}",0.06
amblyopia,"{'pus draining from ear': 0.8723404255319149, 'cross-eyed': 0.7659574468085106, 'eye deviation': 0.6595744680851063, 'diminished vision': 0.6595744680851063, 'pain in eye': 0.5319148936170213}",0.03
amyloidosis,"{'anxiety and nervousness': 1.0, 'wrist weakness': 1.0, 'shortness of breath': 0.75}",0.001
amyotrophic lateral sclerosis (als),"{'abnormal involuntary movements': 0.9, 'difficulty in swallowing': 0.8666666666666667, 'difficulty speaking': 0.8166666666666667, 'leg cramps or spasms': 0.7333333333333333, 'weakness': 0.7}",0.0005
anal fissure,"{'vaginal dryness': 0.8407079646017699, 'sharp abdominal pain': 0.5442477876106194, 'changes in stool appearance': 0.5265486725663717, 'pain of the anus': 0.5088495575221239, 'lower body pain': 0.5, 'rectal bleeding': 0.49557522123893805, 'blood in stool': 0.4911504424778761, 'constipation': 0.4778761061946903}",0.01
anal fistula,"{'mass in scrotum': 0.9, 'blood in stool': 0.85, 'rectal bleeding': 0.65, 'pain of the anus': 0.55}",0.005
anemia,"{'changes in stool appearance': 0.7734138972809668, 'vomiting blood': 0.6797583081570997, 'nosebleed': 0.676737160120846, 'dizziness': 0.5649546827794562, 'weakness': 0.5558912386706949, 'melena': 0.5558912386706949, 'shortness of breath': 0.525679758308157, 'fatigue': 0.486404833836858}",0.15
anemia due to chronic kidney disease,"{'recent weight loss': 0.84, 'weakness': 0.66, 'shortness of breath': 0.56, 'peripheral edema': 0.54, 'fatigue': 0.5, 'ankle swelling': 0.48}",0.05
anemia due to malignancy,"{'flatulence': 0.9166666666666666, 'fatigue': 0.75, 'shortness of breath': 0.6666666666666666, 'difficulty in swallowing': 0.5833333333333334}",0.01
anemia of chronic disease,"{'feeling ill': 0.95, 'dizziness': 0.925, 'emotional symptoms': 0.625, 'weakness': 0.5}",0.04
angina,"{'hot flashes': 0.6799116997792495, 'palpitations': 0.5253863134657837, 'sharp chest pain': 0.522075055187638, 'chest tightness': 0.5088300220750552, 'irregular heartbeat': 0.5077262693156733, 'lower body pain': 0.5055187637969095, 'arm pain': 0.5022075055187638, 'increased heart rate': 0.5011037527593819, 'sweating': 0.4988962472406181, 'shortness of breath': 0.4878587196467991, 'dizziness': 0.4867549668874172}",0.03
ankylosing spondylitis,"{'paresthesia': 0.740924092409241, 'elbow pain': 0.5214521452145214, 'ache all over': 0.5099009900990099, 'low back pain': 0.5082508250825083, 'knee pain': 0.504950495049505, 'stiffness all over': 0.504950495049505, 'lower body pain': 0.48514851485148514, 'back pain': 0.4801980198019802, 'leg pain': 0.4735973597359736, 'hip pain': 0.4735973597359736}",0.002
anxiety,"{'sharp chest pain': 0.5308848080133556, 'depressive or psychotic symptoms': 0.5166944908180301, 'insomnia': 0.5158597662771286, 'depression': 0.5125208681135225, 'abnormal involuntary movements': 0.5091819699499165, 'headache': 0.5075125208681135, 'irregular heartbeat': 0.5058430717863105, 'shortness of breath': 0.505008347245409, 'fears and phobias': 0.505008347245409, 'palpitations': 0.5008347245409015, 'increased heart rate': 0.493322203672788, 'anxiety and nervousness': 0.49248747913188645}",0.15
aortic valve disease,"{'irregular heartbeat': 0.7694013303769401, 'sharp chest pain': 0.6829268292682927, 'difficulty breathing': 0.5388026607538803, 'palpitations': 0.5299334811529933, 'fainting': 0.5299334811529933, 'lymphedema': 0.5188470066518847, 'peripheral edema': 0.49445676274944567, 'shortness of breath': 0.49223946784922396, 'groin mass': 0.45454545454545453}",0.03
aphakia,"{'symptoms of eye': 1.0, 'diminished vision': 0.7777777777777778, 'eye burns or stings': 0.7777777777777778, 'spots or clouds in vision': 0.5555555555555556}",0.0005
aphthous ulcer,"{'headache': 0.8647540983606558, 'cough': 0.6680327868852459, 'mouth pain': 0.5655737704918032, 'mouth ulcer': 0.5573770491803278, 'fever': 0.5491803278688525, 'sore throat': 0.5368852459016393, 'tongue lesions': 0.5286885245901639, 'toothache': 0.5040983606557377}",0.2
aplastic anemia,"{'lack of growth': 0.9142857142857143, 'slurring words': 0.5857142857142857, 'weakness': 0.5714285714285714, 'nausea': 0.5142857142857142, 'fatigue': 0.5, 'fever': 0.42857142857142855}",0.0001
appendicitis,"{'decreased appetite': 0.6589147286821705, 'burning abdominal pain': 0.5293466223698782, 'lower abdominal pain': 0.5182724252491694, 'vomiting': 0.5138427464008859, 'nausea': 0.5138427464008859, 'stomach bloating': 0.5138427464008859, 'side pain': 0.512735326688815, 'diarrhea': 0.5049833887043189, 'upper abdominal pain': 0.5049833887043189, 'fever': 0.5027685492801772, 'sharp abdominal pain': 0.4795127353266888}",0.01
arrhythmia,"{'fainting': 0.8333333333333334, 'dizziness': 0.7790697674418605, 'shortness of breath': 0.7170542635658915, 'palpitations': 0.6046511627906976, 'sharp chest pain': 0.562015503875969, 'fatigue': 0.5581395348837209, 'chest tightness': 0.5387596899224806, 'leg cramps or spasms': 0.4728682170542636}",0.1
arthritis of the hip,"{'pelvic pain': 0.5272727272727272, 'knee pain': 0.5148760330578512, 'ache all over': 0.5082644628099173, 'groin pain': 0.5057851239669422, 'hip stiffness or tightness': 0.5057851239669422, 'problems with movement': 0.5041322314049587, 'hip pain': 0.5024793388429752, 'back pain': 0.5008264462809917, 'lower body pain': 0.4983471074380165, 'low back pain': 0.49504132231404957, 'joint pain': 0.49173553719008267, 'leg pain': 0.4884297520661157}",0.1
ascending cholangitis,"{'shortness of breath': 0.8888888888888888, 'retention of urine': 0.8333333333333334, 'jaundice': 0.75, 'sharp abdominal pain': 0.5972222222222222, 'fever': 0.5277777777777778}",0.001
asperger syndrome,"{'excessive anger': 0.7544378698224852, 'hostile behavior': 0.6686390532544378, 'lack of growth': 0.665680473372781, 'depressive or psychotic symptoms': 0.5621301775147929, 'antisocial behavior': 0.5355029585798816, 'depression': 0.5236686390532544, 'anxiety and nervousness': 0.5118343195266272, 'fainting': 0.5059171597633136}",0.002
aspergillosis,"{'shortness of breath': 1.0, 'knee lump or mass': 1.0}",0.002
asthma,"{'coughing up sputum': 0.668141592920354, 'nasal congestion': 0.5320796460176991, 'allergic reaction': 0.5265486725663717, 'wheezing': 0.5221238938053098, 'cough': 0.5199115044247787, 'difficulty breathing': 0.5143805309734514, 'fever': 0.5110619469026548, 'sharp chest pain': 0.5066371681415929, 'coryza': 0.5066371681415929, 'shortness of breath': 0.48451327433628316, 'chest tightness': 0.48451327433628316}",0.08
astigmatism,"{'pain in eye': 0.7819314641744548, 'eye deviation': 0.6728971962616822, 'double vision': 0.6635514018691588, 'diminished vision': 0.5233644859813084, 'symptoms of eye': 0.5233644859813084, 'spots or clouds in vision': 0.5233644859813084, 'lacrimation': 0.5077881619937694, 'foreign body sensation in eye': 0.4953271028037383}",0.25
atelectasis,"{'headache': 0.8585858585858586, 'dizziness': 0.8282828282828283, 'sore throat': 0.7070707070707071, 'shortness of breath': 0.6262626262626263, 'cough': 0.6161616161616161, 'sharp chest pain': 0.5959595959595959}",0.02
athlete's foot,"{'skin lesion': 0.6963350785340314, 'irregular appearing nails': 0.6832460732984293, 'abnormal appearing skin': 0.680628272251309, 'skin swelling': 0.662303664921466, 'foot or toe swelling': 0.5157068062827225, 'foot or toe pain': 0.5130890052356021, 'skin dryness, peeling, scaliness, or roughness': 0.5104712041884817, 'skin rash': 0.4816753926701571}",0.2
atonic bladder,"{'suprapubic pain': 0.9014084507042254, 'emotional symptoms': 0.8028169014084507, 'retention of urine': 0.7746478873239436, 'impotence': 0.6338028169014085, 'symptoms of bladder': 0.5352112676056338}",0.01
atrial fibrillation,"{'palpitations': 0.6470588235294118, 'dizziness': 0.6176470588235294, 'increased heart rate': 0.6029411764705882, 'shortness of breath': 0.5882352941176471, 'sharp chest pain': 0.5441176470588235, 'decreased heart rate': 0.5294117647058824, 'fatigue': 0.5294117647058824, 'irregular heartbeat': 0.4852941176470588}",0.01
atrial flutter,"{'sharp chest pain': 0.8416666666666667, 'swollen lymph nodes': 0.6875, 'irregular heartbeat': 0.5958333333333333, 'increased heart rate': 0.575, 'palpitations': 0.5583333333333333, 'frequent urination': 0.5458333333333333, 'shortness of breath': 0.5333333333333333, 'chest tightness': 0.49583333333333335}",0.005
atrophic skin condition,"{'acne or pimples': 0.773972602739726, 'lip swelling': 0.6666666666666666, 'skin lesion': 0.54337899543379, 'skin growth': 0.54337899543379, 'skin irritation': 0.5388127853881278, 'abnormal appearing skin': 0.5319634703196348, 'skin moles': 0.5159817351598174, 'skin swelling': 0.4908675799086758, 'wrinkles on skin': 0.4657534246575342}",0.02
atrophic vaginitis,"{'blood in urine': 0.7781155015197568, 'vaginal itching': 0.723404255319149, 'suprapubic pain': 0.6808510638297872, 'pain during intercourse': 0.5440729483282675, 'painful urination': 0.5349544072948328, 'frequent urination': 0.5227963525835866, 'involuntary urination': 0.5106382978723404, 'vaginal discharge': 0.48632218844984804}",0.01
atrophy of the corpus cavernosum,"{'frequent urination': 0.9361702127659575, 'bumps on penis': 0.8297872340425532, 'impotence': 0.7659574468085106, 'abnormal appearing skin': 0.5957446808510638, 'skin growth': 0.574468085106383}",0.001
attention deficit hyperactivity disorder (adhd),"{'hostile behavior': 0.6903353057199211, 'lack of growth': 0.6587771203155819, 'drug abuse': 0.6370808678500987, 'depression': 0.5207100591715976, 'antisocial behavior': 0.5207100591715976, 'temper problems': 0.5187376725838264, 'depressive or psychotic symptoms': 0.4911242603550296, 'anxiety and nervousness': 0.48717948717948717, 'restlessness': 0.48520710059171596}",0.05
autism,"{'long menstrual periods': 0.7212389380530974, 'difficulty speaking': 0.6637168141592921, 'hostile behavior': 0.5110619469026548, 'antisocial behavior': 0.5066371681415929, 'depressive or psychotic symptoms': 0.504424778761062, 'lack of growth': 0.5, 'seizures': 0.497787610619469, 'constipation': 0.49336283185840707, 'temper problems': 0.49336283185840707}",0.01
autonomic nervous system disorder,"{'headache': 0.8809523809523809, 'dizziness': 0.8333333333333334, 'decreased appetite': 0.6547619047619048, 'difficulty in swallowing': 0.6071428571428571, 'leg pain': 0.5595238095238095}",0.005
avascular necrosis,"{'drug abuse': 1.0, 'shoulder pain': 0.7, 'knee pain': 0.6, 'hip pain': 0.4}",0.01
balanitis,"{'suprapubic pain': 0.7555066079295154, 'painful urination': 0.6607929515418502, 'cough': 0.5022026431718062, 'skin rash': 0.5022026431718062, 'diaper rash': 0.5, 'penis redness': 0.4933920704845815, 'abnormal appearing skin': 0.4889867841409692, 'itching of skin': 0.4801762114537445, 'penis pain': 0.45374449339207046}",0.005
bell palsy,"{'diminished vision': 0.6554744525547446, 'abnormal involuntary movements': 0.6437956204379562, 'peripheral edema': 0.5240875912408759, 'focal weakness': 0.5226277372262774, 'symptoms of eye': 0.5153284671532846, 'symptoms of the face': 0.5138686131386861, 'facial pain': 0.49635036496350365, 'headache': 0.48905109489051096, 'weakness': 0.48905109489051096, 'loss of sensation': 0.4832116788321168}",0.001
benign kidney cyst,"{'impotence': 0.7427184466019418, 'vomiting': 0.6844660194174758, 'involuntary urination': 0.6747572815533981, 'blood in urine': 0.5679611650485437, 'sharp abdominal pain': 0.5339805825242718, 'side pain': 0.49029126213592233, 'low back pain': 0.46601941747572817}",0.05
benign paroxysmal positional vertical (bppv),"{'irregular heartbeat': 0.7720090293453724, 'fainting': 0.6817155756207675, 'headache': 0.5440180586907449, 'nausea': 0.5237020316027088, 'dizziness': 0.5214446952595937, 'vomiting': 0.5169300225733634, 'problems with movement': 0.5146726862302483, 'weakness': 0.5011286681715575, 'frontal headache': 0.49887133182844245}",0.01
benign prostatic hyperplasia (bph),"{'symptoms of prostate': 0.521558872305141, 'frequent urination': 0.5182421227197347, 'blood in urine': 0.511608623548922, 'impotence': 0.5041459369817579, 'symptoms of bladder': 0.5033167495854063, 'swelling of scrotum': 0.5016583747927031, 'low urine output': 0.5016583747927031, 'pain in testicles': 0.5, 'involuntary urination': 0.49585406301824214, 'hesitancy': 0.49585406301824214, 'retention of urine': 0.49502487562189057, 'excessive urination at night': 0.494195688225539}",0.3
benign vaginal discharge (leukorrhea),"{'painful urination': 0.6774193548387096, 'suprapubic pain': 0.6598240469208211, 'vaginal discharge': 0.5278592375366569, 'vaginal redness': 0.5234604105571847, 'pain during pregnancy': 0.5205278592375366, 'vaginal itching': 0.5131964809384164, 'frequent urination': 0.5131964809384164, 'problems during pregnancy': 0.49560117302052786, 'burning abdominal pain': 0.49266862170087977, 'sharp abdominal pain': 0.4780058651026393}",0.1
bipolar disorder,"{'insomnia': 0.665158371040724, 'abusing alcohol': 0.6470588235294118, 'depression': 0.5188536953242836, 'delusions or hallucinations': 0.5173453996983409, 'depressive or psychotic symptoms': 0.5128205128205128, 'excessive anger': 0.5067873303167421, 'obsessions and compulsions': 0.5067873303167421, 'fears and phobias': 0.5052790346907994, 'anxiety and nervousness': 0.48717948717948717, 'temper problems': 0.4796380090497738}",0.02
birth trauma,"{'depressive or psychotic symptoms': 1.0, 'emotional symptoms': 0.9090909090909091, 'arm stiffness or tightness': 0.9090909090909091}",0.002
bladder cancer,"{'mass in scrotum': 0.912, 'retention of urine': 0.6, 'groin mass': 0.552, 'bladder mass': 0.544, 'blood in urine': 0.536, 'excessive urination at night': 0.528, 'symptoms of bladder': 0.496}",0.003
bladder disorder,"{'painful urination': 0.7334801762114538, 'lower abdominal pain': 0.6585903083700441, 'frequent urination': 0.5330396475770925, 'sharp abdominal pain': 0.513215859030837, 'suprapubic pain': 0.5110132158590308, 'symptoms of bladder': 0.5022026431718062, 'retention of urine': 0.4933920704845815, 'blood in urine': 0.4933920704845815, 'involuntary urination': 0.486784140969163}",0.1
bladder obstruction,"{'involuntary urination': 0.7840236686390533, 'frequent urination': 0.6923076923076923, 'suprapubic pain': 0.6775147928994083, 'impotence': 0.5295857988165681, 'hesitancy': 0.5266272189349113, 'retention of urine': 0.5118343195266272, 'symptoms of bladder': 0.5059171597633136, 'bedwetting': 0.4970414201183432}",0.02
blepharitis,"{'eye burns or stings': 0.6666666666666666, 'eyelid swelling': 0.5253863134657837, 'spots or clouds in vision': 0.5198675496688742, 'lacrimation': 0.5198675496688742, 'diminished vision': 0.5143487858719646, 'pain in eye': 0.5132450331125827, 'eye redness': 0.5088300220750552, 'swollen eye': 0.5044150110375276, 'itchiness of eye': 0.5022075055187638, 'white discharge from eye': 0.48344370860927155, 'symptoms of eye': 0.47902869757174393}",0.05
blepharospasm,"{'headache': 1.0, 'abnormal movement of eyelid': 0.8333333333333334, 'low back weakness': 0.8333333333333334, 'diminished vision': 0.5}",0.001
bone cancer,"{'problems with movement': 0.8674698795180723, 'leg pain': 0.7228915662650602, 'peripheral edema': 0.6385542168674698, 'low back pain': 0.5180722891566265, 'fatigue': 0.43373493975903615}",0.002
bone disorder,"{'difficulty speaking': 0.7647058823529411, 'leg cramps or spasms': 0.7215686274509804, 'leg pain': 0.6901960784313725, 'muscle stiffness or tightness': 0.6862745098039216, 'knee pain': 0.5411764705882353, 'bones are painful': 0.5176470588235295, 'back pain': 0.4980392156862745}",0.1
bone spur of the calcaneous,"{'elbow pain': 0.967741935483871, 'foot or toe pain': 0.8064516129032258, 'ankle pain': 0.6129032258064516, 'foot or toe swelling': 0.5161290322580645, 'leg pain': 0.4838709677419355}",0.01
brachial neuritis,"{'elbow pain': 0.6758544652701213, 'neck pain': 0.5314222712238148, 'paresthesia': 0.5214994487320838, 'low back pain': 0.5203969128996693, 'back pain': 0.5181918412348401, 'shoulder pain': 0.5060639470782801, 'hand or finger pain': 0.503858875413451, 'hand or finger weakness': 0.5016538037486218, 'arm pain': 0.49393605292171994, 'loss of sensation': 0.4906284454244763, 'headache': 0.48732083792723263}",0.002
brain cancer,"{'difficulty speaking': 0.8634361233480177, 'focal weakness': 0.5682819383259912, 'decreased appetite': 0.5506607929515418, 'slurring words': 0.5462555066079295, 'seizures': 0.5110132158590308, 'weakness': 0.4845814977973568, 'disturbance of memory': 0.4845814977973568, 'headache': 0.47577092511013214}",0.002
breast cancer,"{'lump or mass of breast': 0.8333333333333334, 'bleeding or discharge from nipple': 0.6666666666666666, 'pain or soreness of breast': 0.6666666666666666, 'hot flashes': 0.5}",0.013
breast cyst,"{'vaginal dryness': 0.9090909090909091, 'skin growth': 0.6363636363636364, 'pain or soreness of breast': 0.5454545454545454, 'lump or mass of breast': 0.5}",0.1
breast infection (mastitis),"{'skin growth': 0.6686626746506986, 'chills': 0.6666666666666666, 'mouth dryness': 0.6646706586826348, 'pain or soreness of breast': 0.5249500998003992, 'lump or mass of breast': 0.5069860279441117, 'fever': 0.5049900199600799, 'postpartum problems of the breast': 0.5029940119760479, 'abnormal appearing skin': 0.500998003992016, 'bleeding or discharge from nipple': 0.500998003992016}",0.05
broken tooth,"{'lip swelling': 0.8181818181818182, 'dry lips': 0.7454545454545455, 'toothache': 0.6, 'facial pain': 0.5151515151515151, 'bleeding gums': 0.5151515151515151, 'difficulty eating': 0.503030303030303, 'gum pain': 0.503030303030303}",0.05
