diseases,grouped symptoms,disease probability
acute bronchiolitis,"{'shortness of breath': 0.4792358803986711, 'cough': 0.5132890365448505, 'nasal congestion': 0.5232558139534884, 'irritable infant': 0.4933554817275747, 'vomiting': 0.5157807308970099, 'wheezing': 0.5191029900332226, 'decreased appetite': 0.5083056478405316, 'fever': 0.5232558139534884, 'difficulty breathing': 0.4966777408637873, 'coryza': 0.4792358803986711, 'pulling at ears': 0.4933554817275747, 'hurts to breath': 0.5141196013289037}",0.1
acute bronchitis,"{'shortness of breath': 0.4855729596042868, 'sharp chest pain': 0.5020610057708161, 'sore throat': 0.5086562242374278, 'cough': 0.516075845012366, 'nasal congestion': 0.5226710634789777, 'headache': 0.516075845012366, 'wheezing': 0.4962901896125309, 'fever': 0.5201978565539983, 'difficulty breathing': 0.4896949711459192, 'coughing up sputum': 0.4954657873042044, 'coryza': 0.5185490519373455, 'congestion in chest': 0.4995877988458367}",0.05
acute bronchospasm,"{'shortness of breath': 0.4856512141280353, 'sharp chest pain': 0.5066225165562914, 'chest tightness': 0.4933774834437086, 'sore throat': 0.5242825607064018, 'cough': 0.5342163355408388, 'nasal congestion': 0.5143487858719646, 'vomiting': 0.6876379690949227, 'wheezing': 0.5187637969094923, 'fever': 0.5022075055187638, 'difficulty breathing': 0.5209713024282561, 'coryza': 0.4867549668874172}",0.02
acute fatty liver of pregnancy (aflp),"{'emotional symptoms': 1.0, 'sharp abdominal pain': 0.8888888888888888}",0.01
acute glaucoma,"{'diminished vision': 0.5714285714285714, 'double vision': 0.7285714285714285, 'symptoms of eye': 0.5380952380952381, 'pain in eye': 0.5666666666666667, 'foreign body sensation in eye': 0.6952380952380952, 'spots or clouds in vision': 0.4714285714285714, 'eye redness': 0.5047619047619047, 'blindness': 0.4857142857142857}",0.0005
acute kidney injury,"{'shortness of breath': 0.4966960352422907, 'sharp chest pain': 0.501101321585903, 'dizziness': 0.4878854625550661, 'retention of urine': 0.6828193832599119, 'sharp abdominal pain': 0.5, 'vomiting': 0.5330396475770925, 'nausea': 0.5154185022026432, 'peripheral edema': 0.5022026431718062, 'weakness': 0.5407488986784141, 'kidney mass': 0.5044052863436124, 'symptoms of the kidneys': 0.4757709251101321}",0.15
acute otitis media,"{'sore throat': 0.4919472913616398, 'cough': 0.4963396778916544, 'nasal congestion': 0.4978038067349927, 'diminished hearing': 0.6617862371888726, 'ear pain': 0.5036603221083455, 'plugged feeling in ear': 0.527086383601757, 'fluid in ear': 0.486090775988287, 'fever': 0.5168374816983895, 'coryza': 0.6530014641288433, 'redness in ear': 0.5168374816983895}",0.25
acute pancreatitis,"{'sharp chest pain': 0.4904722452361226, 'abusing alcohol': 0.5086992543496272, 'sharp abdominal pain': 0.4979287489643745, 'vomiting': 0.5144987572493787, 'nausea': 0.5153272576636289, 'diarrhea': 0.5062137531068766, 'back pain': 0.5004142502071252, 'burning abdominal pain': 0.5252692626346314, 'side pain': 0.4929577464788732, 'lower body pain': 0.4954432477216238, 'upper abdominal pain': 0.5045567522783762, 'hemoptysis': 0.5086992543496272}",0.01
acute respiratory distress syndrome (ards),"{'shortness of breath': 0.4922394678492239, 'depressive or psychotic symptoms': 0.5121951219512195, 'sharp chest pain': 0.5210643015521065, 'chest tightness': 0.6496674057649667, 'cough': 0.5055432372505543, 'wheezing': 0.5210643015521065, 'fever': 0.5232815964523282, 'difficulty breathing': 0.5188470066518847, 'chills': 0.7472283813747228}",0.01
acute sinusitis,"{'sore throat': 0.6578366445916115, 'cough': 0.5099337748344371, 'nasal congestion': 0.4900662251655629, 'facial pain': 0.5088300220750552, 'ear pain': 0.5298013245033113, 'frontal headache': 0.5231788079470199, 'fever': 0.4955849889624724, 'coughing up sputum': 0.5022075055187638, 'coryza': 0.5386313465783664, 'sinus congestion': 0.5309050772626932, 'painful sinuses': 0.4746136865342163}",0.1
acute stress reaction,"{'anxiety and nervousness': 0.4901098901098901, 'depression': 0.4978021978021978, 'shortness of breath': 0.4912087912087912, 'depressive or psychotic symptoms': 0.512087912087912, 'sharp chest pain': 0.5318681318681319, 'dizziness': 0.5131868131868131, 'insomnia': 0.4989010989010989, 'abnormal involuntary movements': 0.6703296703296703, 'headache': 0.5164835164835165, 'burning abdominal pain': 0.5054945054945055, 'fatigue': 0.5087912087912088}",0.03
adhesive capsulitis of the shoulder,"{'arm pain': 0.7534246575342466, 'neck pain': 0.5342465753424658, 'muscle pain': 0.8904109589041096, 'shoulder pain': 0.5068493150684932, 'shoulder stiffness or tightness': 0.589041095890411, 'ache all over': 0.5205479452054794}",0.02
adjustment reaction,"{'anxiety and nervousness': 0.5049701789264414, 'depression': 0.6679920477137177, 'insomnia': 0.6878727634194831, 'hostile behavior': 0.5308151093439364, 'restlessness': 0.5029821073558648, 'excessive anger': 0.4970178926441352, 'delusions or hallucinations': 0.7017892644135189, 'fears and phobias': 0.5149105367793241, 'nightmares': 0.489065606361829}",0.1
adrenal adenoma,"{'anxiety and nervousness': 0.8571428571428571, 'shortness of breath': 0.9142857142857144, 'back weakness': 0.8285714285714286, 'sharp abdominal pain': 0.5714285714285714}",0.005
adrenal cancer,"{'dizziness': 1.0, 'diminished hearing': 1.0}",0.0005
alcohol abuse,"{'anxiety and nervousness': 0.4686274509803921, 'depression': 0.5294117647058824, 'depressive or psychotic symptoms': 0.4823529411764706, 'abusing alcohol': 0.488235294117647, 'hostile behavior': 0.6764705882352942, 'drug abuse': 0.5117647058823529, 'vomiting blood': 0.6784313725490196, 'smoking problems': 0.6764705882352942, 'low self-esteem': 0.5137254901960784}",0.07
alcohol intoxication,"{'anxiety and nervousness': 0.7037037037037037, 'depression': 0.5213675213675214, 'depressive or psychotic symptoms': 0.5584045584045584, 'sharp chest pain': 0.6951566951566952, 'abnormal involuntary movements': 0.7094017094017094, 'abusing alcohol': 0.5527065527065527, 'vomiting': 0.5527065527065527, 'problems with movement': 0.6923076923076923}",0.03
alcohol withdrawal,"{'depressive or psychotic symptoms': 0.6466165413533834, 'sharp chest pain': 0.5097744360902255, 'dizziness': 0.6721804511278195, 'abnormal involuntary movements': 0.5067669172932331, 'abusing alcohol': 0.5157894736842106, 'fainting': 0.5097744360902255, 'vomiting': 0.5338345864661654, 'seizures': 0.5293233082706766, 'delusions or hallucinations': 0.4796992481203007, 'antisocial behavior': 0.518796992481203}",0.02
alcoholic liver disease,"{'abnormal involuntary movements': 0.7845528455284553, 'abusing alcohol': 0.5121951219512195, 'sharp abdominal pain': 0.5365853658536586, 'diarrhea': 0.6504065040650406, 'peripheral edema': 0.524390243902439, 'weight gain': 0.6788617886178862, 'stomach bloating': 0.6666666666666666}",0.05
allergy,"{'cough': 0.4828729281767955, 'skin swelling': 0.5160220994475138, 'lip swelling': 0.487292817679558, 'abnormal appearing skin': 0.5060773480662983, 'peripheral edema': 0.5215469613259669, 'itchiness of eye': 0.5049723756906077, 'allergic reaction': 0.5248618784530387, 'fluid retention': 0.6729281767955801, 'swollen eye': 0.4806629834254143, 'itching of skin': 0.512707182320442, 'skin rash': 0.4983425414364641}",0.2
allergy to animals,"{'sore throat': 0.9743589743589745, 'cough': 0.7948717948717948, 'nasal congestion': 0.6666666666666666, 'cross-eyed': 0.7692307692307693, 'allergic reaction': 0.6666666666666666}",0.1
alopecia,"{'skin swelling': 0.7205882352941176, 'feeling ill': 0.5058823529411764, 'acne or pimples': 0.6882352941176471, 'skin growth': 0.5058823529411764, 'irregular appearing scalp': 0.5264705882352941, 'itching of skin': 0.7235294117647059, 'too little hair': 0.4735294117647058, 'skin rash': 0.5264705882352941}",0.05
alzheimer disease,"{'depression': 0.5089285714285714, 'depressive or psychotic symptoms': 0.5535714285714286, 'difficulty speaking': 0.5386904761904762, 'hostile behavior': 0.6845238095238095, 'irregular appearing scalp': 0.6755952380952381, 'eye burns or stings': 0.75, 'disturbance of memory': 0.5297619047619048, 'delusions or hallucinations': 0.5357142857142857}",0.06
amblyopia,"{'pus draining from ear': 0.8723404255319149, 'eye deviation': 0.6595744680851063, 'diminished vision': 0.6595744680851063, 'cross-eyed': 0.7659574468085106, 'pain in eye': 0.5319148936170213}",0.03
amyloidosis,"{'anxiety and nervousness': 1.0, 'shortness of breath': 0.75, 'wrist weakness': 1.0}",0.001
amyotrophic lateral sclerosis (als),"{'abnormal involuntary movements': 0.9, 'difficulty speaking': 0.8166666666666667, 'difficulty in swallowing': 0.8666666666666667, 'weakness': 0.7, 'leg cramps or spasms': 0.7333333333333333}",0.0005
anal fissure,"{'blood in stool': 0.4911504424778761, 'sharp abdominal pain': 0.5442477876106194, 'vaginal dryness': 0.8407079646017699, 'pain of the anus': 0.5088495575221239, 'lower body pain': 0.5, 'changes in stool appearance': 0.5265486725663717, 'rectal bleeding': 0.495575221238938, 'constipation': 0.4778761061946903}",0.01
anal fistula,"{'blood in stool': 0.85, 'mass in scrotum': 0.9, 'pain of the anus': 0.55, 'rectal bleeding': 0.65}",0.005
anemia,"{'shortness of breath': 0.525679758308157, 'dizziness': 0.5649546827794562, 'vomiting blood': 0.6797583081570997, 'weakness': 0.5558912386706949, 'changes in stool appearance': 0.7734138972809668, 'fatigue': 0.486404833836858, 'melena': 0.5558912386706949, 'nosebleed': 0.676737160120846}",0.15
anemia due to chronic kidney disease,"{'shortness of breath': 0.56, 'peripheral edema': 0.54, 'recent weight loss': 0.84, 'weakness': 0.66, 'fatigue': 0.5, 'ankle swelling': 0.48}",0.05
anemia due to malignancy,"{'shortness of breath': 0.6666666666666666, 'difficulty in swallowing': 0.5833333333333334, 'flatulence': 0.9166666666666666, 'fatigue': 0.75}",0.01
anemia of chronic disease,"{'dizziness': 0.925, 'emotional symptoms': 0.625, 'feeling ill': 0.95, 'weakness': 0.5}",0.04
angina,"{'shortness of breath': 0.4878587196467991, 'sharp chest pain': 0.522075055187638, 'dizziness': 0.4867549668874172, 'chest tightness': 0.5088300220750552, 'palpitations': 0.5253863134657837, 'irregular heartbeat': 0.5077262693156733, 'hot flashes': 0.6799116997792495, 'arm pain': 0.5022075055187638, 'increased heart rate': 0.5011037527593819, 'lower body pain': 0.5055187637969095, 'sweating': 0.4988962472406181}",0.03
ankylosing spondylitis,"{'leg pain': 0.4735973597359736, 'hip pain': 0.4735973597359736, 'back pain': 0.4801980198019802, 'low back pain': 0.5082508250825083, 'knee pain': 0.504950495049505, 'elbow pain': 0.5214521452145214, 'paresthesia': 0.740924092409241, 'ache all over': 0.5099009900990099, 'lower body pain': 0.4851485148514851, 'stiffness all over': 0.504950495049505}",0.002
anxiety,"{'anxiety and nervousness': 0.4924874791318864, 'depression': 0.5125208681135225, 'shortness of breath': 0.505008347245409, 'depressive or psychotic symptoms': 0.5166944908180301, 'sharp chest pain': 0.5308848080133556, 'insomnia': 0.5158597662771286, 'abnormal involuntary movements': 0.5091819699499165, 'palpitations': 0.5008347245409015, 'irregular heartbeat': 0.5058430717863105, 'headache': 0.5075125208681135, 'increased heart rate': 0.493322203672788, 'fears and phobias': 0.505008347245409}",0.15
aortic valve disease,"{'shortness of breath': 0.4922394678492239, 'sharp chest pain': 0.6829268292682927, 'palpitations': 0.5299334811529933, 'irregular heartbeat': 0.7694013303769401, 'groin mass': 0.4545454545454545, 'fainting': 0.5299334811529933, 'peripheral edema': 0.4944567627494456, 'difficulty breathing': 0.5388026607538803, 'lymphedema': 0.5188470066518847}",0.03
aphakia,"{'diminished vision': 0.7777777777777778, 'symptoms of eye': 1.0, 'spots or clouds in vision': 0.5555555555555556, 'eye burns or stings': 0.7777777777777778}",0.0005
aphthous ulcer,"{'sore throat': 0.5368852459016393, 'cough': 0.6680327868852459, 'headache': 0.8647540983606558, 'toothache': 0.5040983606557377, 'mouth ulcer': 0.5573770491803278, 'fever': 0.5491803278688525, 'tongue lesions': 0.5286885245901639, 'mouth pain': 0.5655737704918032}",0.2
aplastic anemia,"{'lack of growth': 0.9142857142857144, 'nausea': 0.5142857142857142, 'weakness': 0.5714285714285714, 'slurring words': 0.5857142857142857, 'fever': 0.4285714285714285, 'fatigue': 0.5}",0.0001
appendicitis,"{'sharp abdominal pain': 0.4795127353266888, 'vomiting': 0.5138427464008859, 'nausea': 0.5138427464008859, 'diarrhea': 0.5049833887043189, 'lower abdominal pain': 0.5182724252491694, 'burning abdominal pain': 0.5293466223698782, 'decreased appetite': 0.6589147286821705, 'side pain': 0.512735326688815, 'fever': 0.5027685492801772, 'upper abdominal pain': 0.5049833887043189, 'stomach bloating': 0.5138427464008859}",0.01
arrhythmia,"{'shortness of breath': 0.7170542635658915, 'sharp chest pain': 0.562015503875969, 'dizziness': 0.7790697674418605, 'chest tightness': 0.5387596899224806, 'palpitations': 0.6046511627906976, 'fainting': 0.8333333333333334, 'leg cramps or spasms': 0.4728682170542636, 'fatigue': 0.5581395348837209}",0.1
arthritis of the hip,"{'leg pain': 0.4884297520661157, 'hip pain': 0.5024793388429752, 'back pain': 0.5008264462809917, 'low back pain': 0.4950413223140495, 'pelvic pain': 0.5272727272727272, 'knee pain': 0.5148760330578512, 'problems with movement': 0.5041322314049587, 'ache all over': 0.5082644628099173, 'lower body pain': 0.4983471074380165, 'joint pain': 0.4917355371900826, 'groin pain': 0.5057851239669422, 'hip stiffness or tightness': 0.5057851239669422}",0.1
ascending cholangitis,"{'shortness of breath': 0.8888888888888888, 'retention of urine': 0.8333333333333334, 'jaundice': 0.75, 'sharp abdominal pain': 0.5972222222222222, 'fever': 0.5277777777777778}",0.001
asperger syndrome,"{'anxiety and nervousness': 0.5118343195266272, 'depression': 0.5236686390532544, 'depressive or psychotic symptoms': 0.5621301775147929, 'lack of growth': 0.665680473372781, 'fainting': 0.5059171597633136, 'hostile behavior': 0.6686390532544378, 'excessive anger': 0.7544378698224852, 'antisocial behavior': 0.5355029585798816}",0.002
aspergillosis,"{'shortness of breath': 1.0, 'knee lump or mass': 1.0}",0.002
asthma,"{'shortness of breath': 0.4845132743362831, 'sharp chest pain': 0.5066371681415929, 'chest tightness': 0.4845132743362831, 'cough': 0.5199115044247787, 'nasal congestion': 0.5320796460176991, 'wheezing': 0.5221238938053098, 'fever': 0.5110619469026548, 'difficulty breathing': 0.5143805309734514, 'coughing up sputum': 0.668141592920354, 'coryza': 0.5066371681415929, 'allergic reaction': 0.5265486725663717}",0.08
astigmatism,"{'eye deviation': 0.6728971962616822, 'diminished vision': 0.5233644859813084, 'double vision': 0.6635514018691588, 'symptoms of eye': 0.5233644859813084, 'pain in eye': 0.7819314641744548, 'foreign body sensation in eye': 0.4953271028037383, 'spots or clouds in vision': 0.5233644859813084, 'lacrimation': 0.5077881619937694}",0.25
atelectasis,"{'shortness of breath': 0.6262626262626263, 'sharp chest pain': 0.5959595959595959, 'dizziness': 0.8282828282828283, 'sore throat': 0.7070707070707071, 'cough': 0.6161616161616161, 'headache': 0.8585858585858586}",0.02
athlete's foot,"{'skin swelling': 0.662303664921466, 'abnormal appearing skin': 0.680628272251309, 'skin lesion': 0.6963350785340314, 'foot or toe pain': 0.5130890052356021, 'foot or toe swelling': 0.5157068062827225, 'irregular appearing nails': 0.6832460732984293, 'skin dryness, peeling, scaliness, or roughness': 0.5104712041884817, 'skin rash': 0.4816753926701571}",0.2
atonic bladder,"{'retention of urine': 0.7746478873239436, 'suprapubic pain': 0.9014084507042254, 'emotional symptoms': 0.8028169014084507, 'impotence': 0.6338028169014085, 'symptoms of bladder': 0.5352112676056338}",0.01
atrial fibrillation,"{'shortness of breath': 0.5882352941176471, 'sharp chest pain': 0.5441176470588235, 'dizziness': 0.6176470588235294, 'palpitations': 0.6470588235294118, 'irregular heartbeat': 0.4852941176470588, 'decreased heart rate': 0.5294117647058824, 'increased heart rate': 0.6029411764705882, 'fatigue': 0.5294117647058824}",0.01
atrial flutter,"{'shortness of breath': 0.5333333333333333, 'sharp chest pain': 0.8416666666666667, 'chest tightness': 0.4958333333333333, 'palpitations': 0.5583333333333333, 'irregular heartbeat': 0.5958333333333333, 'frequent urination': 0.5458333333333333, 'swollen lymph nodes': 0.6875, 'increased heart rate': 0.575}",0.005
atrophic skin condition,"{'skin swelling': 0.4908675799086758, 'lip swelling': 0.6666666666666666, 'abnormal appearing skin': 0.5319634703196348, 'skin lesion': 0.54337899543379, 'acne or pimples': 0.773972602739726, 'skin growth': 0.54337899543379, 'skin moles': 0.5159817351598174, 'skin irritation': 0.5388127853881278, 'wrinkles on skin': 0.4657534246575342}",0.02
atrophic vaginitis,"{'suprapubic pain': 0.6808510638297872, 'vaginal itching': 0.723404255319149, 'painful urination': 0.5349544072948328, 'involuntary urination': 0.5106382978723404, 'pain during intercourse': 0.5440729483282675, 'frequent urination': 0.5227963525835866, 'vaginal discharge': 0.486322188449848, 'blood in urine': 0.7781155015197568}",0.01
atrophy of the corpus cavernosum,"{'frequent urination': 0.9361702127659576, 'abnormal appearing skin': 0.5957446808510638, 'skin growth': 0.574468085106383, 'impotence': 0.7659574468085106, 'bumps on penis': 0.8297872340425532}",0.001
attention deficit hyperactivity disorder (adhd),"{'anxiety and nervousness': 0.4871794871794871, 'depression': 0.5207100591715976, 'depressive or psychotic symptoms': 0.4911242603550296, 'lack of growth': 0.6587771203155819, 'hostile behavior': 0.6903353057199211, 'drug abuse': 0.6370808678500987, 'restlessness': 0.4852071005917159, 'temper problems': 0.5187376725838264, 'antisocial behavior': 0.5207100591715976}",0.05
autism,"{'depressive or psychotic symptoms': 0.504424778761062, 'difficulty speaking': 0.6637168141592921, 'lack of growth': 0.5, 'hostile behavior': 0.5110619469026548, 'seizures': 0.497787610619469, 'constipation': 0.493362831858407, 'temper problems': 0.493362831858407, 'long menstrual periods': 0.7212389380530974, 'antisocial behavior': 0.5066371681415929}",0.01
autonomic nervous system disorder,"{'dizziness': 0.8333333333333334, 'difficulty in swallowing': 0.6071428571428571, 'leg pain': 0.5595238095238095, 'headache': 0.8809523809523809, 'decreased appetite': 0.6547619047619048}",0.005
avascular necrosis,"{'hip pain': 0.4, 'drug abuse': 1.0, 'knee pain': 0.6, 'shoulder pain': 0.7}",0.01
balanitis,"{'cough': 0.5022026431718062, 'suprapubic pain': 0.7555066079295154, 'painful urination': 0.6607929515418502, 'abnormal appearing skin': 0.4889867841409692, 'itching of skin': 0.4801762114537445, 'skin rash': 0.5022026431718062, 'penis pain': 0.4537444933920704, 'penis redness': 0.4933920704845815, 'diaper rash': 0.5}",0.005
bell palsy,"{'abnormal involuntary movements': 0.6437956204379562, 'headache': 0.4890510948905109, 'facial pain': 0.4963503649635036, 'diminished vision': 0.6554744525547446, 'symptoms of eye': 0.5153284671532846, 'peripheral edema': 0.5240875912408759, 'weakness': 0.4890510948905109, 'loss of sensation': 0.4832116788321168, 'focal weakness': 0.5226277372262774, 'symptoms of the face': 0.5138686131386861}",0.001
benign kidney cyst,"{'sharp abdominal pain': 0.5339805825242718, 'vomiting': 0.6844660194174758, 'involuntary urination': 0.6747572815533981, 'blood in urine': 0.5679611650485437, 'low back pain': 0.4660194174757281, 'impotence': 0.7427184466019418, 'side pain': 0.4902912621359223}",0.05
benign paroxysmal positional vertical (bppv),"{'dizziness': 0.5214446952595937, 'irregular heartbeat': 0.7720090293453724, 'fainting': 0.6817155756207675, 'vomiting': 0.5169300225733634, 'headache': 0.5440180586907449, 'nausea': 0.5237020316027088, 'problems with movement': 0.5146726862302483, 'weakness': 0.5011286681715575, 'frontal headache': 0.4988713318284424}",0.01
benign prostatic hyperplasia (bph),"{'retention of urine': 0.4950248756218905, 'swelling of scrotum': 0.5016583747927031, 'pain in testicles': 0.5, 'involuntary urination': 0.4958540630182421, 'frequent urination': 0.5182421227197347, 'blood in urine': 0.511608623548922, 'impotence': 0.5041459369817579, 'symptoms of prostate': 0.521558872305141, 'excessive urination at night': 0.494195688225539, 'symptoms of bladder': 0.5033167495854063, 'hesitancy': 0.4958540630182421, 'low urine output': 0.5016583747927031}",0.3
benign vaginal discharge (leukorrhea),"{'suprapubic pain': 0.6598240469208211, 'sharp abdominal pain': 0.4780058651026393, 'vaginal itching': 0.5131964809384164, 'painful urination': 0.6774193548387096, 'frequent urination': 0.5131964809384164, 'vaginal discharge': 0.5278592375366569, 'pain during pregnancy': 0.5205278592375366, 'burning abdominal pain': 0.4926686217008797, 'vaginal redness': 0.5234604105571847, 'problems during pregnancy': 0.4956011730205278}",0.1
bipolar disorder,"{'anxiety and nervousness': 0.4871794871794871, 'depression': 0.5188536953242836, 'depressive or psychotic symptoms': 0.5128205128205128, 'insomnia': 0.665158371040724, 'abusing alcohol': 0.6470588235294118, 'excessive anger': 0.5067873303167421, 'delusions or hallucinations': 0.5173453996983409, 'temper problems': 0.4796380090497738, 'fears and phobias': 0.5052790346907994, 'obsessions and compulsions': 0.5067873303167421}",0.02
birth trauma,"{'depressive or psychotic symptoms': 1.0, 'emotional symptoms': 0.9090909090909092, 'arm stiffness or tightness': 0.9090909090909092}",0.002
bladder cancer,"{'retention of urine': 0.6, 'groin mass': 0.552, 'mass in scrotum': 0.912, 'blood in urine': 0.536, 'excessive urination at night': 0.528, 'symptoms of bladder': 0.496, 'bladder mass': 0.544}",0.003
bladder disorder,"{'retention of urine': 0.4933920704845815, 'suprapubic pain': 0.5110132158590308, 'sharp abdominal pain': 0.513215859030837, 'painful urination': 0.7334801762114538, 'involuntary urination': 0.486784140969163, 'frequent urination': 0.5330396475770925, 'lower abdominal pain': 0.6585903083700441, 'blood in urine': 0.4933920704845815, 'symptoms of bladder': 0.5022026431718062}",0.1
bladder obstruction,"{'retention of urine': 0.5118343195266272, 'suprapubic pain': 0.6775147928994083, 'involuntary urination': 0.7840236686390533, 'frequent urination': 0.6923076923076923, 'impotence': 0.5295857988165681, 'symptoms of bladder': 0.5059171597633136, 'bedwetting': 0.4970414201183432, 'hesitancy': 0.5266272189349113}",0.02
blepharitis,"{'white discharge from eye': 0.4834437086092715, 'diminished vision': 0.5143487858719646, 'symptoms of eye': 0.4790286975717439, 'pain in eye': 0.5132450331125827, 'spots or clouds in vision': 0.5198675496688742, 'eye redness': 0.5088300220750552, 'lacrimation': 0.5198675496688742, 'itchiness of eye': 0.5022075055187638, 'eye burns or stings': 0.6666666666666666, 'swollen eye': 0.5044150110375276, 'eyelid swelling': 0.5253863134657837}",0.05
blepharospasm,"{'headache': 1.0, 'diminished vision': 0.5, 'abnormal movement of eyelid': 0.8333333333333334, 'low back weakness': 0.8333333333333334}",0.001
bone cancer,"{'leg pain': 0.7228915662650602, 'low back pain': 0.5180722891566265, 'peripheral edema': 0.6385542168674698, 'problems with movement': 0.8674698795180723, 'fatigue': 0.4337349397590361}",0.002
bone disorder,"{'difficulty speaking': 0.7647058823529411, 'leg pain': 0.6901960784313725, 'back pain': 0.4980392156862745, 'knee pain': 0.5411764705882353, 'bones are painful': 0.5176470588235295, 'leg cramps or spasms': 0.7215686274509804, 'muscle stiffness or tightness': 0.6862745098039216}",0.1
bone spur of the calcaneous,"{'leg pain': 0.4838709677419355, 'foot or toe pain': 0.8064516129032258, 'ankle pain': 0.6129032258064516, 'elbow pain': 0.967741935483871, 'foot or toe swelling': 0.5161290322580645}",0.01
brachial neuritis,"{'headache': 0.4873208379272326, 'hand or finger pain': 0.503858875413451, 'arm pain': 0.4939360529217199, 'back pain': 0.5181918412348401, 'neck pain': 0.5314222712238148, 'low back pain': 0.5203969128996693, 'elbow pain': 0.6758544652701213, 'loss of sensation': 0.4906284454244763, 'paresthesia': 0.5214994487320838, 'shoulder pain': 0.5060639470782801, 'hand or finger weakness': 0.5016538037486218}",0.002
brain cancer,"{'difficulty speaking': 0.8634361233480177, 'headache': 0.4757709251101321, 'weakness': 0.4845814977973568, 'decreased appetite': 0.5506607929515418, 'focal weakness': 0.5682819383259912, 'slurring words': 0.5462555066079295, 'disturbance of memory': 0.4845814977973568, 'seizures': 0.5110132158590308}",0.002
breast cancer,"{'hot flashes': 0.5, 'bleeding or discharge from nipple': 0.6666666666666666, 'pain or soreness of breast': 0.6666666666666666, 'lump or mass of breast': 0.8333333333333334}",0.013
breast cyst,"{'vaginal dryness': 0.9090909090909092, 'skin growth': 0.6363636363636364, 'pain or soreness of breast': 0.5454545454545454, 'lump or mass of breast': 0.5}",0.1
breast infection (mastitis),"{'abnormal appearing skin': 0.500998003992016, 'skin growth': 0.6686626746506986, 'mouth dryness': 0.6646706586826348, 'bleeding or discharge from nipple': 0.500998003992016, 'fever': 0.5049900199600799, 'chills': 0.6666666666666666, 'pain or soreness of breast': 0.5249500998003992, 'lump or mass of breast': 0.5069860279441117, 'postpartum problems of the breast': 0.5029940119760479}",0.05
broken tooth,"{'lip swelling': 0.8181818181818182, 'toothache': 0.6, 'dry lips': 0.7454545454545455, 'facial pain': 0.5151515151515151, 'difficulty eating': 0.503030303030303, 'gum pain': 0.503030303030303, 'bleeding gums': 0.5151515151515151}",0.05
